tweet_id,tweet_url,author,text,likes,retweets,hashtags
1.953E+18,https://x.com/anil_lulla/status/1953001304575606873,@anil_lulla,"Can anyone read this? Obscuring number plates has become a fashion nowadays for rule breakers especially @zomato. Sent by a concerned citizen from #Kodigehalli, #Bengaluru August 3, 1914 hrs. @hebbaltrafficps @DCPTrNorthBCP @acpnortheasttr pls initiate random checks",23,8,"['#Kodigehalli', '#Bengaluru']"
1.95565E+18,https://x.com/sandhyaislavath/status/1955654321930146187,@sandhyaislavath,"Happy customer
Order from swiggy and zomato
Urs luvinglyy...@virginfruitss",88,3,
1.95349E+18,https://x.com/ArunKosli/status/1953494019532562715,@ArunKosli,"Zomato और swiggy के 
सफ़लता के पीछे किसी एक 
औरत का हाथ नहीं है लाखों आलसी औरतों का हाथ है 
",278,65,
1.95281E+18,https://x.com/Tech_glareOffl/status/1952807470533058652,@Tech_glareOffl,Swiggy and Zomato are Giving these Offers too many Times and these offers have lost their Value. ,25,1,
1.95306E+18,https://x.com/chandrarsrikant/status/1953059546752053465,@chandrarsrikant,"Alibaba-backed Antfin Singapore Holding Pte Ltd is likely to sell its entire stake in Eternal Ltd, the parent of Zomato, for Rs 5,375 crore",31,5,
1.95393E+18,https://x.com/the_futurstic/status/1953926884154310931,@the_futurstic,Zomato lo order petta UPI lite nundi pay chesa order adhe cancel ayindhi refundu osthayaa ?,2,1,
1.95497E+18,https://x.com/tiramisurabhi/status/1954970138844991970,@tiramisurabhi,"til the chances of your zomato order being late when you’ve had a bad day are less, but never zero",56,0,
1.95482E+18,https://x.com/Hemnttt/status/1954821697959309582,@Hemnttt,Zomato ab tera mazaak jydaa ho rhaa hai ,39,3,
1.95295E+18,https://x.com/aswin_loyolite/status/1952948948928446909,@aswin_loyolite,25 days without Swiggy n zomato ,3,0,
1.95569E+18,https://x.com/YearOfTheKraken/status/1955688056390115428,@YearOfTheKraken,"It's high time 
@zomato
 implements an OTP code for their delivery partners.

Had a bad experience today where the delivery partner marked my order as delivered without even bothering to deliver the food items.

On calling the delivery partner, the person at the other end of the",179,7,
1.95561E+18,https://x.com/rinpoet/status/1955605914121302250,@rinpoet,"I was bitten twice by strays in villages while on assignments and chased many a time during night shifts. I took a couple of Zomato guys, bitten by strays to PHCs for vaccination. A poor country with low literacy cannot bow to elites. Scientific Culling is essential. 
@SCofIndia",18,6,
1.84259E+18,https://x.com/Doubleehelix/status/1842585450005017013,@Doubleehelix,Really liked deepinder in shark tank 3 . Zomato anyways ahead of swiggy now,1,0,
1.95516E+18,https://x.com/Kalappak/status/1955159491634401303,@Kalappak,@YuluBike are the major culprits. Those bikes come under the cycle category. So they can go as per their wishes. Very risky and no headlight and no the riders can't do any hand signal also due to the poor vehicle control.,2,0,
1.95448E+18,https://x.com/abhjeet141/status/1954475303314588008,@abhjeet141,"Ummm ever heard of Flipkart, Ola, Cultfit, Zerodha, Reliance Industries Limited, Vedanta, Airtel, Razorpay,  Zomato, Swiggy, Vishal Mega Mart, all have been started by middle class individuals.",46,1,
1.8566E+18,https://x.com/Doubleehelix/status/1856598019245773178,@Doubleehelix,Oyo lelo ek,1,0,
1.9566E+18,https://x.com/BananaJanta/status/1956603038845821406,@BananaJanta,Zomato ke flirty notis ni aate aaj kal ,2,0,
1.95333E+18,https://x.com/diyEWW/status/1953332982913081734,@diyEWW,was scrolling through zomato and saw PINDI CHOLE BIRYANI,10,0,
1.95379E+18,https://x.com/zubeendedhia/status/1953791453601112344,@zubeendedhia,TIL Zomato was renamed to Eternal.,2,0,
